Property Name,ZIP Code,Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft)
(IL279) - 212 W Washington Condo,60606,2,LOOP,Multifamily Housing,344323,1912,1,,47,8344073.4,12464463.5,,,74.9,131.2,78.1,134.4,1964.3,7.1
Ike Sims Village,60624,1,EAST GARFIELD PARK,Multifamily Housing,68664,1981,1,,12,3806013.4,2429039.2,,,90.8,192.3,93.7,198.9,723,10.5
4200 N Marine Drive,60613,1.5,UPTOWN,Multifamily Housing,114400,1957,1,,38,1707115.8,7366474.7,,,79.3,109.4,84,114.3,657.7,5.7
The James Hotel,60611,2,NEAR NORTH SIDE,Hotel,72000,2000,1,,26,7092609.8,6564979.8,,,189.7,371.6,189.7,371.6,1455.6,20.2
University Park Condominium Association,60615,4,HYDE PARK,Multifamily Housing,579783,1961,2,,85,1287153.1,48472538.7,,,92.3,101.1,98.9,107.9,2775.5,5.1
Parc Chestnut Condominium Association,60610,2,NEAR NORTH SIDE,Multifamily Housing,490568,2006,1,,41,11421519.7,19866551.2,,,82.4,139.2,85.4,141.7,2837.8,7.5
,60657,0,LAKE VIEW,,75300,,,,,,,,,,,,,,
,60616,3.5,DOUGLAS,Multifamily Housing,247000,1972,1,,59,4511342.8,17590419.5,,,89.5,125.9,93.9,130.5,1638.4,6.6
Madero Middle -CPS,60623,2,SOUTH LAWNDALE,K-12 School,62071,1996,1,,15,2363458.7,3809910,,,99.5,171.1,103,174.1,571.2,9.2
Terra Cotta Commons Condominium,60614,4,Lincoln Park,Multifamily Housing,63110,1920,1,,86,825649.4,1711368.1,,,50.8,82.2,52.5,83.2,219.8,4.4
,60611,1,NEAR NORTH SIDE,Multifamily Housing,108587,1981,1,,4,5844800.9,1545771.6,,,77.6,188.9,81.3,198.9,994.3,10.4
Institute of Cultural Affairs,60640,4,UPTOWN,Office,206154,1921,1,,89,2249637.3,9225368.1,,,66,90.7,70,94.6,926.8,5.1
"The Blackstone, A Renaissance Hotel",60605,4,LOOP,Hotel,385000,2008,1,,99,6875145,11153711,,,46.8,80.4,46.8,80.4,1665.4,4.3
Jane Addams Elementary School,60617,1.5,,K-12 School,54000,1948,1,,34,1563900.9,3503850.2,,,81.7,129.9,92.7,144.4,430.2,6.9
,60630,0,PORTAGE PARK,,53018,,,,,,,,,,,,,,
United Center Office Building,60612,0,,,,,,,,,,,,,,,,,
,60622,1,WEST TOWN,Multifamily Housing,52240,2005,1,,6,2329570.1,3276799.9,,,107.6,191,111.8,194.8,537.6,10.3
8522-Edgewater,60640,3.5,EDGEWATER,Supermarket/Grocery Store,55129,2013,1,,55,9404755.4,6354424.8,,,285.9,598.7,297,610.4,1805.3,32.7
Crowne Plaza Chicago Metro,60661,4,NEAR WEST SIDE,Hotel,114000,1968,1,,87,6706204.5,7115700.2,,,69.1,131.2,71.7,136,1424.6,7.1
222 West Hubbard Street,60654,3.5,NEAR NORTH SIDE,Office,66095,1905,1,,76,2260402.2,1730722.9,,,60.4,123.3,62.8,125.8,444.7,6.7
,60660,4,Rogers Park,Library,124285,1930,1,,,4264045.2,3398007,,,61.6,124.8,65.2,128.5,846,6.8
Montgomery Place,60637,0,HYDE PARK,Multifamily Housing,225000,1991,1,,,,,,,,,,,,
Bricktown Square,60707,,BELMONT CRAGIN,,443313,,,,,,,,,,,,,,
Linne Elementary -CPS,60618,4,AVONDALE,K-12 School,105920,1895,1,,83,1690363,3212050,,,46.3,76.5,50.4,81.4,434.4,4.1
Durkin Park Elementary -CPS,60652,3.5,ASHBURN,K-12 School,79722,1961,1,,57,2216222.5,2182680,,,55.2,106.6,57.5,109,461.8,5.8
Michigan Avenue Tower Condominium Association,60605,3.5,NEAR SOUTH SIDE,Multifamily Housing,441181,2008,1,,51,11810740.5,14165958.4,,,64.5,119.1,66.8,122.8,2595.7,6.4
Congress Center,60607,4,NEAR WEST SIDE,Office,539738,2000,1,,77,22640612.2,,,,42.9,120.2,44.5,124.6,3533.5,6.7
,60649,1,SOUTH SHORE,Multifamily Housing,101200,1926,1,,10,1340556.3,9883868.5,,,110.9,139.6,118,147.1,734.2,7.3
,60649,0,SOUTH SHORE,,57776,,,,,,,,,,,,,,
,60626,3.5,ROGERS PARK,Multifamily Housing,52000,1972,1,,80,837584.5,2768148,,,85.9,125,90.7,129.4,277.8,6.6
Library Tower Condo Assoc.,60605,3.5,LOOP,Multifamily Housing,387025,2008,1,,72,7950181.2,14376343.1,,,61.4,102.7,63.6,105.1,2004.4,5.5
Ariel Elemenentary-CPS,60653,2.5,KENWOOD,K-12 School,147109,1893,1,,32,4164781,8226969.9,,,84.2,138,89.1,141.3,1087,7.4
,60654,,Near North Side,,120000,,,,,,,,,,,,,,
Ravenswood Elementary -CPS,60613,4,LAKE VIEW,K-12 School,76423,1915,1,,66,947881,4502900.4,,,71.3,96.6,76.1,101.6,387.1,5.1
"Rockefeller,Mitchell,Reynolds,Hutchinson,Zoology,Erman,Mandel,Oriental,Pres.Home",60637,1,HYDE PARK,Museum,103012,1931,1,,,4468194.6,,8115450.9,7421459.9,194.2,281.8,194,282.1,1627.3,15.8
Warner Brothers,60618,2,North Center,Office,275000,1981,3,,,14878881.9,4162790.1,,,126.9,306.9,129.6,309.6,2543.2,17
,60626,4,ROGERS PARK,Residence Hall/Dormitory,85129,1971,1,,91,1479114.6,2938900.2,,,51.9,84.9,55.8,89,386.9,4.5
"Clay Elementary, Henry -CPS",60633,3,HEGEWISCH,K-12 School,81950,1917,1,,43,1370731.8,5550389.7,,,84.5,117.9,97.5,131.7,508.7,6.2
Winston Towers II,60645,1,WEST RIDGE,Multifamily Housing,360669,1966,1,,27,6925520.8,23023027.5,,,114.9,167.2,121.8,172.8,2303.7,8.8
Catholic Charities: St. Leo Residence,60620,1.5,Auburn Gresham,Multifamily Housing,67170,2006,1,,31,2413440.7,4708995.6,,,108.5,178.3,110.4,180.3,626.8,9.5
Churchview Manors and Churview supportive Living,60629,1,CHICAGO LAWN,Senior Living Community,74185,2004,1,,25,2325856.1,5277976.8,,,112.8,178.9,117.5,184.6,643.3,9.5
Mayo Elementary -CPS,60653,4,DOUGLAS,K-12 School,62750,1961,1,,65,1044686.8,3067909.7,,,65.5,98,70.3,103.5,326,5.2
,60644,4,AUSTIN,Multifamily Housing,91968,1930,,,82,927569.2,3339321.9,,,62.8,89.8,65.6,92.6,322.1,4.7
Hayden,60607,2.5,NEAR WEST SIDE,Multifamily Housing,110435,2020,1,,38,3185730,5929664.5,,,89,147.9,92.2,150.5,812.1,7.9
,60607,4,Loop,Multifamily Housing,563659,2018,1,,90,11644228.2,11383738.7,,,50.6,97.9,51.9,99.4,2422,5.3
"Taylor, Douglas -CPS",60617,2,EAST SIDE,K-12 School,87628,1923,1,,21,1010667.5,9732470.2,,,122.6,148.9,138.3,165.4,674.7,7.7
,,0,,,50000,,,,,,,,,,,,,,
Bradwell Arts & Sciences Elementary -CPS,60649,4,SOUTH SHORE,K-12 School,143266,1895,1,,91,1661189,4377879.9,,,42.2,64.6,46.5,69.5,491.8,3.4
,60615,1,HYDE PARK,Multifamily Housing,64000,1925,1,,30,1596529.4,6100596.2,,,120.3,169.9,125.5,174.6,573.2,9
One Museum Park East Condominium Association,60605,4,NEAR SOUTH SIDE,Multifamily Housing,1151549,2008,1,,81,19781459.6,39525344.4,,,62.3,101.7,64.7,104.3,5186.7,5.4
Materials & Metals Building,60616,4,DOUGLAS,College/University,68398,1943,1,,,8148.5,,382.1,,0.1,0.3,0.1,0.3,1.3,0
,60637,4,HYDE PARK,Multifamily Housing,52272,1926,1,,80,545864.8,3010592.1,,,68,89.7,72,93.9,245.1,4.7
Frazier International Magnet -CPS,60624,2.5,NORTH LAWNDALE,K-12 School,72000,1966,1,,31,1264862.9,6140970,,,102.9,138.7,110.9,147.2,523.6,7.3
30 N LaSalle St,60602,3.5,LOOP,Office,1095104,1974,1,,76,32826510.8,31469670.8,,,58.7,114.1,62.2,117.8,6794.7,6.2
,60621,,Englewood,,50000,,,,,,,,,,,,,,
203 N LaSalle St,60601,4,LOOP,Office,1191631,1985,1,,74,34656715.2,400857.8,,,53.1,147.6,55.3,153.7,5430.1,8.2
731 S Plymouth Ct,60605,3,LOOP,Multifamily Housing,151865,1913,1,,46,6054672.5,2473410.2,,,56.2,128.7,65.7,143.7,1076.3,7.1
1720 South Michigan Condominium Association,60616,3.5,NEAR SOUTH SIDE,Multifamily Housing,684299,2007,1,,55,17101534.3,27121534.4,,,83.7,144.4,87.8,149.5,4109.6,7.8
Gary Elementary -CPS,60623,3.5,SOUTH LAWNDALE,K-12 School,132193,1911,1,,51,2945797.4,6414819.6,,,70.8,113.3,78.1,123.5,800.5,6.1
,60660,3.5,EDGEWATER,Multifamily Housing,259996,1957,1,,77,3442472.2,17696679,,,88.1,117.6,96.2,126.1,1477.2,6.2
Wyndham Grand Chicago Riverfront,60601,2.5,LOOP,Hotel,250000,2000,1,,52,7420795.6,12522087.3,,2061360.2,88,143.2,94.5,151.6,1931.9,7.7
Cooper Dual Language Academy -CPS,60608,4,LOWER WEST SIDE,K-12 School,131200,1885,1,,95,1515428.9,2795680.3,,,32.9,54.7,35.8,58.2,385,2.9
,60610,2.5,NEAR NORTH SIDE,Multifamily Housing,220000,1957,1,,51,4260700.9,11601290,,,77.4,117.6,80.9,120.1,1281.2,6.2
,60629,1,GAGE PARK,Senior Living Community,60000,2005,1,,27,1767828.8,4269800.1,,,100.6,157.2,104.7,160.8,502.7,8.4
Clissold Elementary -CPS,60643,3,MORGAN PARK,K-12 School,63257,1930,1,,46,1366837.9,3532610.3,,,77.5,119.1,82.4,124.4,401,6.3
Hubbard Place Apartments,60654,4,NEAR NORTH SIDE,Multifamily Housing,686958,2013,1,,70,13635950.2,19413967.5,,,66.1,117.1,68.9,120,3159.3,6.3
UNO Veterans Memorial Campus (Charter School),60632,0,ARCHER HEIGHTS,,200999,,,,,,,,,,,,,,
River Walk Townhomes,,3,,Multifamily Housing,96737,2004,3,,64,1549174.3,4233378.4,,,80.6,122.4,83.5,125.5,466.6,6.5
Hubbard HS -CPS,60629,4,WEST LAWN,K-12 School,218200,1929,1,,90,2657029.3,8436730.5,,,50.8,74.7,55.6,79.7,862.8,4
Maple Tower Condominiums,60610,4,NEAR NORTH SIDE,Multifamily Housing,135086,2005,1,,70,4399460.2,869227.2,,,47.1,118.4,49.7,125.7,732.8,6.6
"Pulaski Fine Arts Academy, Casimir -CPS",60647,2,LOGAN SQUARE,K-12 School,103904,1949,1,,15,3876184.4,6403839.9,,,98.9,169.2,105.3,178.3,945.1,9.1
Depaul University Holtschneider Performance Center,60614,2,Lincoln Park,Performing Arts,242343,2018,1,,,5284864,14042348.6,,,104.5,159.7,107,162.4,1570.7,8.5
Dwight Lofts LLC,60605,4,LOOP,Multifamily Housing,205348,2008,1,,79,7500367.8,9142095.7,,,84.6,155.5,87.8,158.9,1656.2,8.4
Mozart -CPS,60647,3.5,LOGAN SQUARE,K-12 School,92365,1911,1,,57,1874065.3,4455830.1,,,68.5,107.5,72.5,111.6,529.2,5.7
Belden-Racine Hall,60614,3,LINCOLN PARK,College/University,68245,2000,1,,,2117149.9,4186854.8,,,92.4,151.3,96.6,155.8,552.8,8.1
WMS-2718 Roscoe,60618,,AVONDALE,,121666,,,,,,,,,,,,,,
"Neil Elementary, Jane A -CPS",60619,4,CHATHAM,K-12 School,71870,1953,1,,68,333471.8,5564070.3,,,82.1,94.3,87.5,100.3,347.6,4.8
WMS Gaming 3401 California,60618,0,AVONDALE,,120687,,,,,,,,,,,,,,
225 W Ohio St,60654,3.5,NEAR NORTH SIDE,Office,60892,1907,1,,79,1293163.6,1677071.8,,,48.8,88.4,50.9,90.6,290.9,4.8
Gary Comer Youth Center (South Shore Drill Team),60619,2,GREATER GRAND CROSSING,Other,115500,2006,1,,,3514945.8,1532663.1,,,63.1,143.1,64.7,144.8,630,7.9
Washington Park SRO,60615,4,GRAND BOULEVARD,Multifamily Housing,97465,1982,1,,96,1487504.1,2343124.9,,,39.3,68,39.3,68,356.6,3.7
Aon Center,60601,4,LOOP,Office,3457865,1972,1,,81,88649320.1,74788659.9,,55385315.7,68.6,118.1,70,119.7,20741.2,6.5
200 S Wacker Property LLC,60606,3,LOOP,Office,865070,1981,1,,66,43810653.1,,,,52,145.5,53.6,150.1,6837.5,8.1
Marlborough Condominium Association,60614,4,LINCOLN PARK,Multifamily Housing,196000,1912,1,,83,2107442.3,11078440.1,,,67.3,89.5,71.1,92.9,917.3,4.7
57135-Chicago-Downtown,60611,4,NEAR NORTH SIDE,Hotel,177137,1987,1,,71,5515610.6,12566948.8,,,102.1,161.7,105.7,164.7,1528.3,8.6
The Edge Lofts & Tower Condominium Association,60661,1,NEAR WEST SIDE,Multifamily Housing,353135,2004,1,,14,8998699.6,18600712.2,,,116,188.1,119.2,190.8,2392.4,10.1
Pasteur Elementary -CPS,60629,4,WEST ELSDON,K-12 School,98900,1927,1,,78,1704448.1,3629759.9,,,53.9,86.8,59.2,93.1,458.8,4.6
012-012-Tremont Hotel,60611,0,NEAR NORTH SIDE,,95526,,,,,,,,,,,,,,
"750 Orleans, Inc.",60654,4,NEAR NORTH SIDE,Office,74458,1903,1,,61,4350201.1,,,,58.4,163.6,63.1,176.7,678.9,9.1
"L - Logan Square Apartment Community 
Navigator Taproom",60647,0,Logan Square,,119727,,,,,,,,,,,,,,
Nightingale Elementary -CPS,60632,2,GAGE PARK,K-12 School,140838,1926,1,,26,4481327.7,7751970.2,,,86.9,146.9,90.5,151,1111.1,7.9
,60610,3,NEAR NORTH SIDE,Multifamily Housing,80457,2006,1,,62,1860328.2,3271503.8,,,63.8,107.4,64.8,108.1,464.1,5.8
Cook County Building,60602,3.5,LOOP,Office,638592,1906,1,,53,31463456.1,30530798.1,,,97.1,188.2,101.5,192.8,6532.1,10.2
,60660,3,EDGEWATER,Multifamily Housing,104500,1977,1,,43,1708541.9,6542596.4,,,93.8,132.4,102.9,141.5,614.2,7
1251/1255 S. Michigan,60605,0,NEAR SOUTH SIDE,,642408,,,,,,,,,,,,,,
Circa 922,60607,3,Near West Side,Multifamily Housing,204813,2015,1,,48,4917504,7406928.1,,,78.4,137,80.7,139,1160.9,7.4
,60615,1.5,HYDE PARK,Multifamily Housing,148157,1930,1,,37,5502344.4,5397899.8,,,73.6,142.2,77.3,150.4,1145.5,7.7
,60607,3.5,LOOP,Multifamily Housing,99552,1950,1,,73,3552011.1,,,,35.7,99.9,37.7,105.6,554.4,5.6
Promontory Apartments,60637,3.5,HYDE PARK,Multifamily Housing,180351,1949,1,,53,3265741.3,13586599.8,,,93.4,129.8,98.8,135.2,1231.3,6.8
,60653,0,OAKLAND,,61610,,,,,,,,,,,,,,
Riverside Square and River's Edge - Chicago,60608,4,MCKINLEY PARK,Supermarket/Grocery Store,74495,1987,1,,100,2501105.3,1713599.9,,,56.6,118.2,,,481.4,6.5
The Belmont by Reside,60657,3.5,LAKE VIEW,Multifamily Housing,475020,1924,1,,78,7579433.3,19817492.8,,,57.7,88.5,59.5,90.4,2235.5,4.7
,60657,4,LAKE VIEW,Multifamily Housing,81300,1969,1,,94,997624.4,4131599.4,,,70.6,98.1,74.2,101.7,375.1,5.2
,60608,3,BRIDGEPORT,Senior Living Community,69455,2005,1,,65,1878200.2,4062399.6,,,85.5,137.1,88.8,140.3,508.9,7.3
Midway Pointe Senior Residences,60638,4,Garfield Ridge,Multifamily Housing,88080,2017,1,,92,2168049.7,1491337.5,,,41.5,86.7,43,89.2,417.6,4.7
Old Town Village East,60610,4,,Multifamily Housing,127872,2006,6,,98,904118.5,1933907.4,,,44,70.8,45.8,72.5,243.8,3.8
Beach Point Tower Condominium Association,60660,1,EDGEWATER,Multifamily Housing,160000,1956,1,,17,2879608.5,12834131.1,,,98.2,134.6,107.5,142.7,1131.1,7.1
Park Newberry Condominiums,60610,1,NEAR NORTH SIDE,Multifamily Housing,354934,1995,1,,4,10694320.7,23494153,,,131.5,210,137.5,215.6,2916.9,11.2
640 N LaSalle Dr,60654,4,NEAR NORTH SIDE,Office,329845,1969,1,,68,16202311.9,2245160.3,,,65.3,169,68.4,175.1,2647.9,9.4
Mahalia Jackson Apt,60617,1,SOUTH CHICAGO,Multifamily Housing,103330,1974,2,,9,3471545.9,15959119.9,,,213.1,290.4,227,305,1389.5,15.2
House of Blues Chicago,60654,4,NEAR NORTH SIDE,Performing Arts,54600,1996,1,,,3129321.9,1064740,,,76.8,181,76.8,181,544.9,10
,60645,1,WEST RIDGE,Multifamily Housing,333000,1968,1,,11,7061555.3,36530711,,,134.1,178.9,137.6,182.5,3042.4,9.4
Esmond Elementary -CPS,60643,2.5,MORGAN PARK,K-12 School,53700,1891,1,,33,763518.4,5371580.2,,,114.2,144.8,122.8,153.8,404.5,7.5
,60649,0,SOUTH SHORE,,81378,,,,,,,,,,,,,,
IL0054ZZ - Clark Fedral Bldg,60605,3,LOOP,Office,636217,1912,1,,42,29743740.4,37313760.5,,,105.4,192.5,108.7,195.4,6624,10.4
"Burr Elementary, Jonathan -CPS",60622,2.5,WEST TOWN,K-12 School,60929,1896,1,,34,800519.2,5661870.2,,,106.1,134.4,118.1,147.4,425.7,7
,60657,1,LAKE VIEW,Multifamily Housing,158320,1960,1,,,738234,371924615.1,,,2559.5,2696.3,2559.6,2696.5,19869.9,136.5
Reilly Es -CPS,60618,2.5,AVONDALE,K-12 School,113870,1914,1,,34,3054648.8,7421690.2,,,92,143.5,96.3,148.1,870.9,7.6
,60640,,UPTOWN,,96960,,,,,,,,,,,,,,
Edgewater Flats Condominium,60660,3,EDGEWATER,Multifamily Housing,51840,1920,2,,64,488178.8,,,,74.6,94.8,82.7,102.5,255.8,4.9
Costco,60614,3.5,LINCOLN PARK,Supermarket/Grocery Store,142374,2001,1,,72,15137211,11667060,,,188.3,383.7,196,391.1,2982.1,20.9
,60660,4,EDGEWATER,Multifamily Housing,77900,1962,1,,66,1477795.2,4602635.9,,,83.3,122.9,90.8,129.8,475.1,6.5
,60660,1,WEST RIDGE,Multifamily Housing,57600,1951,1,,11,1467088.3,6422899.9,,,137,188.4,151.2,203.3,570.1,9.9
,60641,0,PORTAGE PARK,,126211,,,,,,,,,,,,,,
Life Changers International Church,60608,,NEAR WEST SIDE,,81933,,,,,,,,,,,,,,
Dett,60612,3,NEAR WEST SIDE,K-12 School,70600,1961,1,,47,1412518.4,4165479.8,,,79,118,84.1,123.3,441.7,6.3
,60625,0,ALBANY PARK,,52800,,,,,,,,,,,,,,
,60613,0,LAKE VIEW,,114450,,,,,,,,,,,,,,
,60613,4,LAKE VIEW,Multifamily Housing,65918,1970,1,,91,738998.3,3130799.8,,,63.5,87.9,65.8,90.3,281.6,4.6
SpringHill Suites Chicago O'Hare / Hampton Inn and Suites Chicago,60631,2,NORWOOD PARK,Hotel,160000,2000,1,,19,11048462,7829400.3,,,118,244.7,126.2,260.8,2140.2,13.4
Evergreen Tower,60610,0,NEAR NORTH SIDE,,86780,,,,,,,,,,,,,,
Tams Building -CPS,60629,0,BRIDGEPORT,,73600,,,,,,,,,,,,,,
Newberry Library,60610,0,NEAR NORTH SIDE,,200000,,,,,,,,,,,,,,
Altgeld Elementary-CPS,60636,2,WEST ENGLEWOOD,K-12 School,69366,1904,1,,21,1435152.1,7289270,,,125.8,168.3,134.4,177.3,611.2,8.8
,60657,4,LAKE VIEW,Multifamily Housing,244440,1925,1,,93,3405630,14525287.2,,,73.4,101.4,77.2,104.4,1303,5.3
4950 Powhatan Bldg C,60615,3,KENWOOD,,167825,,,,,,,,,,,,,,
Arturo Velasquez Institute,60608,3,LOWER WEST SIDE,College/University,349767,1996,1,,,5953791.6,6971400,,,73.9,137.1,77.9,141.3,1299.5,7.4
Providence St. Mel School,60624,4,EAST GARFIELD PARK,K-12 School,187689,1929,1,,86,3124802.2,5425012.1,,,45.6,77,49,80.3,775.8,4.1
Lake Meadows 7,60616,0,DOUGLAS,,309457,,,,,,,,,,,,,,
1550 CA,60610,4,NEAR NORTH SIDE,Multifamily Housing,406524,1960,1,,81,3156806.2,24867980.7,,,77.8,97,82.8,102.1,1813.5,5
